= Solo Test @ Thu Apr 03 11:10:05 -0400 2008

TEST FILE                                        TESTS    ASSERTIONS  FAILURES    ERRORS   
test/integer/test_of.rb                            2          2          0          0        [PASS]
test/integer/test_factorial.rb                     1          5          0          0        [PASS]
test/integer/test_ordinal.rb                       1          4          0          0        [PASS]
test/integer/test_bitmask.rb                       6         21          0          0        [PASS]
test/integer/test_multiple.rb                      1          4          0          0        [PASS]
test/test_syncarray.rb                             1          1          0          0        [PASS]
test/test_crypt.rb                                 2          8          0          0        [PASS]
test/test_metaid.rb                                4          4          0          0        [PASS]
test/test_bytes.rb                                12         18          0          0        [PASS]
test/test_infinity.rb                              4         16          0          0        [PASS]
test/symbol/test_generate.rb                       2          4          0          0        [PASS]
test/symbol/test_chomp.rb                          2          2          0          0        [PASS]
test/symbol/test_not.rb                            1          2          0          0        [PASS]
test/test_1stclassmethod.rb                        2          3          0          0        [PASS]
test/test_typecast.rb                              6          6          0          0        [PASS]
test/test_buildable.rb                             2          2          0          0        [PASS]
test/test_instantise.rb                            2          2          0          0        [PASS]
test/test_openobject.rb                           13         29          0          0        [PASS]
test/test_equatable.rb                             1          3          0          0        [PASS]
test/test_uri.rb                                   4          4          0          0        [PASS]
test/test_opencascade.rb                           7        109          0          0        [PASS]
test/test_multipliers.rb                          21         21          0          0        [PASS]
test/test_autoarray.rb                             0          0          0          0        [PASS]
test/test_random.rb                               20        260          0          0        [PASS]
test/test_basicobject.rb                           7         13          0          0        [PASS]
test/test_boolean.rb                               8         35          0          0        [PASS]
test/test_continuation.rb                          1          1          0          0        [PASS]
test/test_prototype.rb                             2          4          0          0        [PASS]
test/test_ostruct.rb                              13         41          0          0        [PASS]
test/numeric/test_distance.rb                      1          3          0          0        [PASS]
test/numeric/test_round.rb                         4          8          0          0        [PASS]
test/numeric/test_approx.rb                        1          3          0          0        [PASS]
test/test_elementwise.rb                           2          8          0          0        [PASS]
test/test_class_extension.rb                       5          9          0          0        [PASS]
test/binding/test_defined.rb                       1          1          0          0        [PASS]
test/binding/test_self.rb                          1          1          0          0        [PASS]
test/binding/test_caller.rb                        7          7          0          0        [PASS]
test/binding/test_local_variables.rb               1          1          0          0        [PASS]
test/binding/test_opvars.rb                        2          3          0          0        [PASS]
test/test_thread.rb                                3          3          0          0        [PASS]
test/test_date.rb                                  9         11          0          0        [PASS]
test/test_dependency.rb                            4          4          0          0        [PASS]
test/proc/test_bind.rb                             1        100          0          0        [PASS]
test/proc/test_to_method.rb                        2          6          0          0        [PASS]
test/proc/test_curry.rb                            2          3          0          0        [PASS]
test/proc/test_compose.rb                          2          4          0          0        [PASS]
test/proc/test_partial.rb                          3          3          0          0        [PASS]
test/range/test_overlap.rb                         2          2          0          0        [PASS]
test/range/test_combine.rb                         2          2          0          0        [PASS]
test/range/test_to_r.rb                            2          2          0          0        [PASS]
test/range/test_within.rb                          5         15          0          0        [PASS]
test/test_ruby/symbol/test_succ.rb                 1          3          0          0        [PASS]
test/test_ruby/kernel/test_tap.rb                  2          2          0          0        [PASS]
test/test_ruby/array/test_combination.rb           2          2          0          0        [PASS]
test/test_ruby/array/test_product.rb               1          1          0          0        [PASS]
test/test_ruby/array/test_permutation.rb           1          1          0          0        [PASS]
test/test_times.rb                                13         13          0          0        [PASS]
test/test_binreadable.rb                           4         13          0          0        [PASS]
test/file/test_file.rb                             9          9          0          0        [PASS]
test/test_cloneable.rb                             2          6          0          0        [PASS]
test/test_inheritor.rb                            20         23          0          0        [PASS]
test/test_uninheritable.rb                         1          2          0          0        [PASS]
test/test_timer.rb                                 3          8          0          0        [PASS]
test/test_annotations.rb                          16         22          0          0        [PASS]
test/test_recorder.rb                              1          1          0          0        [PASS]
test/test_ruby.rb                                 21        441          0          0        [PASS]
test/hash/test_collate.rb                          2         12          0          0        [PASS]
test/hash/test_keys.rb                             3          5          0          0        [PASS]
test/hash/test_inverse.rb                          1          3          0          0        [PASS]
test/hash/test_stringify_keys.rb                   2          4          0          0        [PASS]
test/hash/test_rekey2.rb                           5         10          0          0        [PASS]
test/hash/test_delete.rb                           3          3          0          0        [PASS]
test/hash/test_symbolize_keys.rb                   2          4          0          0        [PASS]
test/hash/test_weave.rb                            1          1          0          0        [PASS]
test/hash/test_alias.rb                            1          3          0          0        [PASS]
test/hash/test_update.rb                           5          5          0          0        [PASS]
test/hash/test_swap.rb                             1          1          0          0        [PASS]
test/hash/test_at.rb                               1          2          0          0        [PASS]
test/hash/test_op.rb                               5          5          0          0        [PASS]
test/hash/test_select.rb                           1         12          0          0        [PASS]
test/hash/test_autonew.rb                          1          0          0          0        [PASS]
test/hash/test_insert.rb                           1          2          0          0        [PASS]
test/hash/test_traverse.rb                         2          3          0          0        [PASS]
test/hash/test_zipnew.rb                           1          1          0          0        [PASS]
test/hash/test_mash.rb                             2          2          0          0        [PASS]
test/hash/test_merge.rb                            1          1          0          0        [PASS]
test/hash/test_rekey.rb                            4         14          0          0        [PASS]
test/kernel/test_val.rb                            3          6          0          0        [PASS]
test/kernel/test_not_nil.rb                        1          4          0          0        [PASS]
test/kernel/test_resc.rb                           1          2          0          0        [PASS]
test/kernel/test_attr_singleton.rb                 3          8          0          0        [PASS]
test/kernel/test_constant.rb                       1          4          0          0        [PASS]
test/kernel/test_populate.rb                       3          9          0          0        [PASS]
test/kernel/test_callstack.rb                      1          1          0          0        [PASS]
test/kernel/test_instance_class.rb                 1          1          0          0        [PASS]
test/kernel/test_silence.rb                        1          1          0          0        [PASS]
test/kernel/test_object_hexid.rb                   1          1          0          0        [PASS]
test/kernel/test_in.rb                             1          2          0          0        [PASS]
test/kernel/test_instance_assign.rb                1          3          0          0        [PASS]
test/kernel/test_object_class.rb                   2          2          0          0        [PASS]
test/kernel/test_returning.rb                      1          1          0          0        [PASS]
